uid,nuid
1428796620,1
22742891,2
3421383863,3
76277548,4
168981538,5
2853755257,6
254914790,7
3314932297,8
3234598981,9
100691652,10
2778262237,11
2496643028,12
95801828,13
777119847801036800,14
462654587,15
27410664,16
833693328180903942,17
255953825,18
787367053,19
2185085300,20
156881548,21
44317642,22
900732667,23
75367033,24
253126560,25
2224029338,26
1410056486,27
238361560,28
2232607099,29
925926986043629568,30
420024264,31
762413174381436928,32
3049857569,33
763107873429737472,34
69244382,35
375391930,36
333357211,37
20442930,38
72729183,39
42696536,40
187137990,41
126298198,42
558331337,43
183036128,44
259506084,45
36255721,46
22993014,47
171802941,48
34807004,49
34119271,50
464155764,51
836744195272404992,52
4160339063,53
1466808679,54
739734005969477632,55
512398827,56
20756577,57
512119338,58
765911534283489281,59
77247456,60
877415132451569664,61
442084884,62
1409852467,63
721429073545818112,64
242410837,65
26286109,66
2896042548,67
1092378031,68
161954885,69
93881144,70
276222286,71
264861791,72
763352480851726336,73
22903166,74
224850006,75
774781339,76
543742791,77
44078892,78
1687443698,79
875998886,80
516459609,81
254211712,82
543717078,83
313027861,84
1284418651,85
3293409014,86
763078495081607168,87
2846929876,88
2389388030,89
76919389,90
523094525,91
55432787,92
22473015,93
763092650962538496,94
450422006,95
96481258,96
697564345040039936,97
339403381,98
604086751,99
763100248830947328,100
309621851,101
2859372870,102
27964284,103
2849969338,104
479218463,105
276541608,106
61718920,107
46362846,108
130481653,109
425580734,110
47008273,111
2647441508,112
33811563,113
93217769,114
763417978041802753,115
1839277045,116
131782092,117
717530413,118
216141054,119
420672054,120
777050826778906624,121
42365343,122
172255000,123
3020194436,124
148962634,125
47239658,126
340251891,127
3217555944,128
40090885,129
816774087489908737,130
304217661,131
3368822652,132
257028825,133
763262946071896064,134
2856342828,135
459917769,136
156065636,137
316991323,138
887507479562559488,139
32386368,140
2450621492,141
1602512088,142
35466620,143
42381766,144
763254540422361088,145
1601937732,146
37955429,147
613765548,148
170238260,149
1975277737,150
1214827802,151
158123632,152
309469254,153
2613149754,154
23132037,155
3236650418,156
162684366,157
297191314,158
743905707376934912,159
518983652,160
791823565117009920,161
763361273840939008,162
2715768594,163
1229742127,164
1253513574,165
18753424,166
752855778,167
